username;country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;salary;mortgage;others
amettetalen;Poland;24/02/1978;Public;Doctorate;Married; Male;12;2329;1920;false;iPhone, Others
ctretwelleo;Belgium;01/12/1983;Self Employed;Masters;Married; Male;19;2245;1482;true;Others, Audi
cburlingep;Spain;31/12/1990;Public;Masters;Married; Female;22,5;2269;1409;false;iPhone, Seat
mmacmeekaneq;Slovakia;25/11/1997;Private;Bachelors;Married; Male;31,5;1182;1109;false;iPhone, BMW
mguthrieer;Netherlands;09/10/1996;Public;Bachelors;Never Married; Male;15,5;1062;1360;false;Iphone, Others
epomphreyes;Netherlands;26/03/1987;Self Employed;Doctorate;Married; Female;12,5;2350;1976;true;Others, Non
adonahoet;Germany;02/10/1989;Unknown;Bachelors;Separated; Male;19;2191;2818;true;iPhone, Seat
cmquhaneu;Belgium;12/12/1993;Private;Bachelors;Never Married; Female;34;1210;1279;true;Others, Seat
ccaldecourtev;Italy;18/06/1991;Self Employed;Masters;Married; Female;39,5;2257;2155;true;iPhone, Ford
scrookallew;Poland;25/05/1983;Public;Masters;Separated; Male;28;2510;3498;true;Others, Volkswagen
hdanzeyex;Cyprus;10/05/1977;Private;High School;Separated; Male;20;2616;2611;true;Samsung, Seat
pgilyattey;Luxembourg;08/07/1960;Unknown;Bachelors;Married; Female;27;3043;2008;true;Samsung, Others
ldouberdayez;Spain;20/03/1981;Unknown;Bachelors;Divorced; Male;27;2575;2029;false;iPhone, BMW
rsanfordf0;Malta;28/08/1967;Unknown;High School;Divorced; Female;27;2428;2363;false;Samsung, Audi
tosgarf1;Spain;27/07/1990;Self Employed;Bachelors;Separated; Male;36;2170;1499;true;Iphone, Honda
kcaplanf2;Bulgaria;01/05/1970;Self Employed;Bachelors;Married; Male;19;2739;2328;false;iPhone, Volkswagen
fwomackf3;Italy;16/03/1970;Public;High School;Never Married; Male;20;2864;3079;false;Samsung, Volkswagen
gonionf4;Spain;24/01/1990;Self Employed;High School;Never Married; Male;34;2166;1676;true;iPhone, Honda
jkenefickf5;Netherlands;13/12/1971;Unknown;High School;Married; Male;37;2140;3271;true;Samsung, Ford
dearthfieldf6;Italy;28/01/1980;Self Employed;High School;Separated; Male;18;2853;1954;true;Samsung, Non
ashottonf7;Netherlands;08/07/1985;Private;Bachelors;Married; Male;7,5;2714;2895;false;Others, Others
plangstrathf8;Lithuania;12/04/1974;Unknown;Masters;Married; Male;20,5;2486;2151;false;iPhone, Others
kgiorginif9;Italy;11/12/1974;Public;Bachelors;Married; Female;36;2001;1872;false;iPhone, Non
ntrawinfa;Lithuania;27/04/1963;Unknown;Bachelors;Divorced; Female;32;2105;2489;false;iPhone, Ford
sbierlingfb;Germany;10/01/1982;Unknown;Doctorate;Married; Male;31,5;2680;2558;false;iPhone, Others
nlawlyfc;Portugal;25/03/1969;Public;Bachelors;Married; Female;38;3046;3468;false;Others, Audi
kricciardofd;Germany;22/01/1981;Self Employed;Masters;Married; Female;38;2326;2934;false;iPhone, BMW
jbutterisfe;France;11/08/1983;Unknown;Bachelors;Married; Male;16;2589;3165;true;Others, Honda
daimericff;Finland;25/01/1964;Private;High School;Divorced; Male;23;2531;2404;true;Iphone, Others
cbrittainfg;Germany;23/08/1977;Unknown;High School;Married; Male;34;2806;2276;true;Others, Seat
dgrigsfh;Germany;22/01/1964;Public;Bachelors;Married; Male;32;3013;3257;true;iPhone, Others
zcraydenfi;Spain;07/08/1962;Self Employed;Bachelors;Divorced; Male;32,5;2606;2294;false;iPhone, Others
mprentyfj;Germany;02/07/1966;Unknown;Masters;Married; Female;20;2565;2061;false;iPhone, Seat
wottewellfk;Poland;05/11/1994;Public;High School;Married; Male;16,5;1082;1412;true;Others, Others
amcaughtryfl;Germany;14/06/1983;Unknown;High School;Married; Male;20;2765;3452;true;iPhone, Non
gscahillfm;Greece;07/06/1973;Unknown;High School;Married; Female;34;2798;3091;true;iPhone, Others
jmcphilipfn;Germany;10/09/1970;Self Employed;High School;Married; Male;10;2203;3058;false;Others, Others
sdaccafo;Ireland;28/06/1991;Private;Bachelors;Married; Female;18,5;2469;2641;false;Iphone, BMW
gandrifp;Italy;22/10/1994;Self Employed;Bachelors;Separated; Female;32,5;1030;1131;false;iPhone, Honda
hpavlenkovfq;Spain;01/09/1961;Public;Doctorate;Never Married; Male;27;2961;2628;false;iPhone, Volkswagen
gmcdowallfr;Germany;16/08/1971;Unknown;Bachelors;Married; Male;22;2007;2549;true;Iphone, Others
acanedofs;France;08/11/1978;Self Employed;Bachelors;Married; Male;20;2464;1589;true;iPhone, Seat
agjerdeft;Hungary;16/06/1983;Public;Masters;Married; Male;26;2637;3341;false;iPhone, Seat
dgirkfu;France;17/06/1978;Unknown;Bachelors;Married; Female;9,5;2656;2061;false;Iphone, Others
jparrattfv;Austria;25/05/1996;Public;High School;Married; Male;28,5;1748;1338;false;iPhone, Volkswagen
sstentonfw;Italy;21/08/1998;Public;Bachelors;Separated; Male;26,5;1099;1211;true;iPhone, Audi
jpedreschifx;Portugal;08/04/1992;Unknown;High School;Married; Male;31;1242;1400;false;iPhone, Non
avernayfy;Germany;24/05/1960;Unknown;High School;Married; Male;36;2840;2785;false;Samsung, Others
kbenthallfz;Italy;31/03/1985;Private;Bachelors;Divorced; Male;26,5;2623;1420;true;iPhone, Others
ftowsong0;Belgium;06/10/1963;Unknown;Doctorate;Married; Male;38,5;2662;2137;true;Samsung, Seat
psykesg1;Germany;20/03/1994;Private;High School;Married; Male;32,5;1913;1263;false;Samsung, Non
jdikeling2;Germany;04/03/1978;Public;Bachelors;Married; Male;19;2748;2373;false;iPhone, Others
eweeklyg3;Belgium;01/04/1972;Private;High School;Married; Female;26,5;2169;3125;false;iPhone, Others
apauerg4;Portugal;13/07/1966;Private;Masters;Married; Male;6;2673;1933;false;Samsung, Non
brewbottomg5;Sweden;04/03/1960;Self Employed;Bachelors;Separated; Male;35;5029;3452;true;iPhone, Audi
gtwiggsg6;Germany;19/02/1961;Unknown;Bachelors;Married; Male;33;2224;1908;true;iPhone, Others
hspearg7;Spain;05/09/1992;Public;High School;Married; Male;17;1407;927;true;Samsung, Others
lmaccheyneg8;Poland;02/03/1979;Public;Bachelors;Married; Male;22,5;2675;1741;false;Samsung, Others
mhandscombg9;Hungary;01/08/1998;Unknown;Doctorate;Separated; Male;16;1441;1276;true;iPhone, Others
jholliganga;Romania;14/09/1993;Unknown;Bachelors;Married; Male;31;1309;1171;true;Samsung, Others
fbrimmangb;Greece;19/01/1962;Unknown;Bachelors;Married; Male;30,5;2932;1472;true;iPhone, Non
cwolfegc;Netherlands;23/12/1975;Self Employed;Bachelors;Married; Female;22,5;2427;1581;false;Iphone, Others
tgraffhamgd;Poland;30/09/1994;Public;High School;Married; Female;27;870;1347;false;Samsung, Non
pricardinge;Germany;02/03/1990;Unknown;Masters;Separated; Male;16,5;3044;3097;false;Samsung, Audi
apunshongf;Germany;07/04/1994;Self Employed;Masters;Married; Male;36;955;998;false;Samsung, Others
tgeaneygg;Portugal;01/07/1960;Private;High School;Married; Male;32;3048;2274;false;Samsung, Others
ibirranegh;Belgium;12/04/1982;Public;High School;Married; Male;22;3042;1614;false;Samsung, Ford
hdregergi;Poland;27/05/1978;Private;Bachelors;Married; Male;34;2365;3089;false;Samsung, Seat
njeaneaugj;France;10/04/1968;Private;Bachelors;Married; Male;22;2805;2417;false;iPhone, Volkswagen
rsercombegk;Belgium;17/09/1962;Self Employed;High School;Married; Female;29,5;2243;3318;false;Samsung, Others
dricardsgl;France;05/12/1998;Unknown;Bachelors;Divorced; Female;32;1733;1413;false;iPhone, Ford
mrozeagm;France;12/04/1966;Self Employed;High School;Married; Male;21;2445;3141;false;Samsung, Others
asmorthitgn;Poland;24/08/1974;Private;Bachelors;Separated; Male;37;2655;2877;false;iPhone, Volkswagen
astobbiego;Germany;29/10/1964;Public;Bachelors;Married; Male;28;2957;1658;true;Samsung, Volkswagen
kfiddlergp;Germany;25/05/1961;Unknown;High School;Married; Female;32;2511;2447;false;Samsung, Others
dcoccigq;Germany;07/11/1985;Private;Bachelors;Married; Female;18,5;2220;2087;true;Samsung, Others
jdicksgr;Slovenia;14/08/1970;Private;High School;Separated; Male;10;2788;3144;false;Samsung, Non
ldechelettegs;Poland;08/05/1977;Unknown;High School;Married; Male;9,5;2374;2608;true;Samsung, Non
abrunickegt;Denmark;25/07/1961;Public;High School;Separated; Male;26,5;2594;2318;false;Samsung, Others
mhuskegu;Italy;03/01/1963;Unknown;Bachelors;Married; Female;39;2553;3003;false;iPhone, Non
mfantinigv;Slovenia;08/01/1994;Unknown;Masters;Married; Male;39,5;1672;1654;false;Samsung, Others
jbenkogw;Hungary;08/11/1986;Public;High School;Married; Male;12,5;2956;2334;false;iPhone, Others
mcopcotegx;France;18/08/1979;Private;High School;Married; Male;19,5;2061;3457;true;iPhone, Ford
roakshottgy;Germany;06/07/1960;Public;Bachelors;Married; Female;36;2401;3030;true;Iphone, Honda
ocovottogz;Croatia;29/02/1980;Unknown;Bachelors;Married; Female;31,5;2424;1431;true;Samsung, Others
vdessenth0;Latvia;20/09/1969;Self Employed;Bachelors;Married; Male;22;2576;1516;true;Samsung, Volkswagen
ojaegarh1;Finland;05/11/1964;Private;Bachelors;Married; Male;36;3018;3001;true;Samsung, Honda
wgeharkeh2;Belgium;23/12/1981;Unknown;High School;Married; Male;35,5;2044;2868;false;iPhone, Others
tducarmeh3;Netherlands;29/12/1998;Private;High School;Divorced; Male;29,5;1105;1559;false;Iphone, Others
vbalkwillh4;Germany;02/12/1991;Self Employed;Doctorate;Married; Male;18,5;2002;1788;true;iPhone, Others
lheritegeh5;Netherlands;14/10/1982;Private;High School;Married; Female;25,5;2461;2805;true;Iphone, Others
lfaughnyh6;France;12/10/1971;Public;High School;Never Married; Male;20,5;2591;2243;false;Samsung, Others
bphilipsenh7;Germany;19/03/1980;Unknown;Bachelors;Married; Male;20,5;2808;2077;false;Iphone, Non
imaaszeh8;Poland;15/04/1991;Private;Bachelors;Married; Male;24;2756;1914;true;iPhone, Non
nmertschingh9;Spain;20/05/1982;Private;Bachelors;Married; Male;16,5;2590;1452;false;iPhone, Others
flillicoha;Greece;01/09/1965;Public;Bachelors;Married; Female;28;2196;3151;false;iPhone, Others
pnafzgerhb;Finland;08/10/1962;Self Employed;Bachelors;Never Married; Male;39,5;2277;2264;false;Others, Honda
jcripinhc;Romania;22/07/1972;Unknown;High School;Married; Female;24,5;2710;2504;false;Samsung, Non
sdefondhd;Ireland;18/03/1962;Self Employed;Bachelors;Married; Male;26,5;2032;2889;false;Others, Non
rhayterhe;Czech Republic;15/03/1976;Public;High School;Divorced; Male;18;3051;2988;false;Samsung, Others
dsustonhf;Spain;19/12/1997;Self Employed;High School;Separated; Female;39;861;1686;true;iPhone, Ford
awaterhowsehg;Romania;19/02/1963;Unknown;Bachelors;Divorced; Female;39,5;2090;1451;false;Iphone, Seat
abighamhh;Denmark;30/01/1983;Unknown;Doctorate;Married; Female;39,5;2589;2987;false;Others, Non
apemberyhi;France;18/08/1992;Unknown;Bachelors;Married; Male;20,5;1430;909;false;Others, Non
sgatrillhj;Germany;24/04/1964;Unknown;Bachelors;Married; Female;19,5;2037;2662;true;iPhone, Non
sjuliffhk;Germany;29/05/1997;Self Employed;Bachelors;Married; Male;16,5;1161;1698;false;iPhone, Others
scovingtonhl;Romania;18/09/1966;Self Employed;High School;Married; Male;24,5;2881;1848;true;Samsung, Non
trudsdalehm;Germany;11/09/1966;Public;Bachelors;Separated; Male;17;2347;1532;false;iPhone, Non
lharbronhn;France;19/10/1972;Private;Bachelors;Never Married; Male;39;2672;3497;true;iPhone, BMW
kmagwoodho;Estonia;10/05/1970;Private;Bachelors;Divorced; Female;31,5;2582;3323;true;Iphone, Volkswagen
rapperleyhp;Italy;23/05/1990;Public;Bachelors;Separated; Female;26;2752;3220;true;iPhone, Others
awrettumhq;Portugal;20/11/1966;Public;Bachelors;Married; Male;29,5;2947;1519;false;Samsung, Others
psimmighr;Czech Republic;15/09/1997;Self Employed;High School;Married; Male;21;1113;1222;false;Samsung, Others
ngravenerhs;Poland;13/12/1961;Public;Masters;Married; Female;33,5;2303;3285;false;iPhone, Volkswagen
gjarvieht;Germany;09/05/1984;Public;Bachelors;Separated; Male;34,5;2298;3341;false;iPhone, Others
bbunneyhu;Ireland;15/04/1976;Public;Masters;Married; Male;38;2696;2425;true;Samsung, Others
twilfinghv;Estonia;23/10/1978;Public;Bachelors;Never Married; Male;28;2048;3475;false;Samsung, Others
vsoltanhw;Belgium;14/07/1974;Self Employed;High School;Married; Female;40;2826;1863;true;iPhone, Others
ceskriggehx;Latvia;16/06/1999;Private;Bachelors;Married; Female;23;1914;958;false;iPhone, Others
ebendsonhy;Germany;24/11/1983;Public;Bachelors;Married; Male;22;2928;2089;false;iPhone, Others
fyearronhz;Italy;11/05/1994;Private;Bachelors;Married; Male;38,5;1180;1659;false;iPhone, Others
gwickwarthi0;Poland;18/06/1979;Private;Masters;Never Married; Male;15;2515;1508;true;Others, Others
ewhiscardi1;Italy;06/07/1998;Unknown;Bachelors;Separated; Female;6;1688;1570;true;Iphone, Volkswagen
kpollandi2;France;13/07/1994;Self Employed;Bachelors;Married; Male;38;1500;1419;false;iPhone, Others
ghalmsi3;Germany;20/09/1960;Private;Bachelors;Married; Male;17,5;2709;2982;false;Samsung, Honda
nsiggensi4;France;16/12/1964;Self Employed;Doctorate;Divorced; Male;38;2301;3329;true;Samsung, Others
cminghettii5;Germany;26/12/1986;Self Employed;Bachelors;Married; Male;37,5;2790;2169;false;Iphone, Others
pmacmarcuisi6;Sweden;10/12/1980;Private;Doctorate;Married; Male;20,5;5050;2644;true;iPhone, Others
trhydderchi7;Spain;20/10/1964;Unknown;Masters;Married; Male;34;2708;1928;true;iPhone, Non
mquiggi8;Italy;11/11/1989;Public;High School;Never Married; Female;36;2964;2630;false;Iphone, Ford
sclibberyi9;Germany;10/10/1968;Private;Bachelors;Separated; Male;26,5;2600;1571;true;Samsung, Others
rpatronia;France;11/08/1969;Public;Doctorate;Married; Male;20;2507;1616;false;Samsung, Non
mbreartyib;Cyprus;29/06/1979;Private;Bachelors;Separated; Male;19,5;2544;2948;false;iPhone, Non
gpalatiniic;Germany;17/06/1962;Public;Doctorate;Married; Male;40;2704;1438;true;Iphone, Others
labelsonid;Netherlands;03/10/1974;Unknown;Doctorate;Married; Male;27,5;2179;2023;true;Others, Others
acourteneyie;France;02/04/1989;Unknown;High School;Married; Male;23,5;2089;2838;false;Others, Seat
dcharkhamif;Italy;21/04/1997;Public;Doctorate;Divorced; Male;25;1500;1608;true;Iphone, BMW
ppallaskeig;Hungary;24/10/1975;Private;High School;Married; Male;25;2896;1751;true;Samsung, Honda
dchalkih;Belgium;13/11/1968;Private;Bachelors;Never Married; Female;29;2013;3423;false;iPhone, Audi
ngeydonii;Czech Republic;26/06/1996;Public;High School;Married; Male;23,5;1657;1082;false;Samsung, Seat
rhellwigij;Poland;02/03/1961;Public;Masters;Separated; Male;31,5;2167;2805;false;Others, Others
mbrimilcombeik;Austria;16/04/1983;Private;High School;Separated; Male;39,5;2304;2628;false;Others, Others
atalbyil;Spain;07/05/1976;Unknown;Bachelors;Married; Male;24;2080;3456;true;iPhone, Others
cbehaggim;France;03/09/1977;Self Employed;Bachelors;Married; Male;34;2375;3182;false;iPhone, Others
rbrehenyin;Italy;02/03/1981;Unknown;High School;Divorced; Male;32;2259;2189;false;iPhone, Honda
abeddallio;Netherlands;01/02/1980;Public;Bachelors;Divorced; Male;32,5;2692;3177;false;Iphone, Others
rjirusekip;France;21/03/1993;Unknown;Bachelors;Divorced; Male;12,5;1631;1502;false;iPhone, Others
chewiq;Belgium;22/02/1966;Unknown;Bachelors;Married; Female;29,5;2676;2935;false;Samsung, Ford
abarnettir;Germany;07/07/1985;Public;Doctorate;Married; Male;36,5;2152;3317;true;iPhone, Volkswagen
mheadrickis;Romania;28/10/1972;Private;Bachelors;Separated; Male;32,5;2211;2312;true;iPhone, Others
bblackslandit;Sweden;15/04/1981;Private;Masters;Never Married; Male;38,5;5588;2993;true;Iphone, Others
wfarahariu;Slovakia;05/10/1967;Public;Doctorate;Married; Male;26,5;2730;2853;false;Samsung, Honda
gkeriiv;Netherlands;10/04/1983;Unknown;High School;Married; Male;34,5;3045;3158;true;Iphone, Non
sbenjaminiw;Greece;01/10/1989;Public;High School;Married; Female;27,5;3048;1998;true;Iphone, Non
cghentix;Italy;12/09/1975;Private;Bachelors;Married; Male;39,5;2523;3485;false;iPhone, BMW
thugnetiy;Italy;09/09/1960;Private;Doctorate;Married; Male;15;2750;1871;true;Others, BMW
gsturdyiz;France;13/05/1989;Private;Masters;Never Married; Female;11;2970;2062;false;iPhone, Others
kregisj0;Spain;29/07/1981;Unknown;Bachelors;Married; Male;10,5;2037;3408;false;iPhone, Others
msizeyj1;France;14/08/1961;Public;Bachelors;Never Married; Male;35;2447;2634;false;Iphone, BMW
dbudnkj2;Italy;20/08/1989;Unknown;High School;Married; Female;26,5;2142;1943;false;Samsung, Non
talmondj3;Italy;25/02/1998;Self Employed;High School;Divorced; Male;16,5;990;964;false;Samsung, Non
dnewburyj4;Belgium;15/11/1965;Public;High School;Married; Female;34,5;2114;1496;false;Iphone, Others
mreamsj5;Ireland;30/04/1992;Public;High School;Married; Male;31;832;1365;true;iPhone, Others
bcastletonj6;Germany;11/12/1966;Unknown;Bachelors;Married; Female;17;2971;2219;false;Samsung, Audi
ztheriotj7;Sweden;07/04/1960;Private;Bachelors;Married; Female;28;5905;2130;true;iPhone, Audi
ekleintj8;Spain;13/04/1992;Self Employed;Masters;Separated; Male;32;1485;1030;false;Samsung, Ford
ghuygej9;Italy;24/02/1973;Self Employed;High School;Married; Female;37;2405;1774;true;Samsung, Audi
ssaffinja;Finland;12/03/1971;Private;High School;Divorced; Male;19;2390;3036;true;Others, Non
lnoblesjb;Bulgaria;01/04/1987;Self Employed;Bachelors;Separated; Male;30;2441;1866;true;Samsung, Audi
aklugerjc;Germany;20/11/1968;Unknown;Bachelors;Married; Female;19,5;2007;2065;false;Samsung, Others
gfaderjd;Croatia;12/09/1991;Private;High School;Married; Male;21;2427;1811;false;iPhone, Seat
rswiggje;Italy;22/07/1969;Private;Doctorate;Married; Male;36,5;2476;2627;false;iPhone, Seat
gcolqueranjf;Germany;09/01/1985;Private;Bachelors;Married; Male;22;2323;1511;true;iPhone, Others
awerendelljg;France;07/02/1965;Self Employed;Masters;Married; Female;34,5;2995;1607;false;Iphone, Seat
bferronijh;Spain;13/09/1986;Unknown;Bachelors;Divorced; Female;17,5;2294;2808;true;Iphone, Others
hjollieji;France;13/04/1970;Self Employed;High School;Married; Male;19,5;2579;2057;false;Samsung, Honda
iiacovozzojj;Germany;16/01/1961;Private;High School;Divorced; Female;20;2467;2425;false;Iphone, Others
hsevillejk;Belgium;02/04/1987;Unknown;Bachelors;Married; Female;20;2792;3004;true;iPhone, Others
fgoldiejl;Estonia;11/01/1967;Public;Bachelors;Married; Male;37;2693;2947;false;Others, Audi
jdillestonejm;Netherlands;10/12/1963;Unknown;High School;Divorced; Male;22;2676;2376;false;Others, Ford
tworkmanjn;Spain;17/08/1992;Public;Bachelors;Divorced; Female;20;1019;1454;false;iPhone, Non
rstakerjo;Germany;27/02/1980;Public;Bachelors;Married; Male;32,5;2091;1856;false;Samsung, Others
cheightonjp;Poland;17/10/1985;Unknown;Bachelors;Married; Male;31;3008;3218;false;Others, Honda
bgemmelljq;Slovakia;04/08/1998;Private;Bachelors;Divorced; Female;20;1223;1075;false;Iphone, Others
nbartalonijr;Poland;02/12/1997;Private;High School;Never Married; Male;21;1345;1147;false;iPhone, Non
gskeldonjs;Finland;28/11/1990;Private;High School;Married; Male;38;2270;1806;true;iPhone, Others
eferraracciojt;Latvia;19/08/1974;Public;Bachelors;Married; Male;37,5;2917;2055;false;iPhone, Seat
iallardju;Slovenia;15/08/1972;Private;Doctorate;Married; Male;37;2190;3173;true;iPhone, Others
kpielljv;Portugal;10/12/1986;Unknown;Bachelors;Married; Female;27,5;2580;2206;false;iPhone, Honda
gjanssonjw;Spain;22/03/1970;Public;Doctorate;Married; Female;17,5;2107;1825;false;Samsung, Seat
jamiesjx;Austria;11/12/1970;Self Employed;Bachelors;Married; Male;28;2540;1409;false;Samsung, Others
cjamaryjy;Hungary;28/03/1998;Self Employed;Bachelors;Married; Male;34,5;1549;967;false;Iphone, Others
sgummaryjz;Germany;22/03/1973;Public;High School;Married; Male;17;2724;1907;true;iPhone, Honda
sfinlayk0;Portugal;10/08/1983;Self Employed;Bachelors;Never Married; Female;24;3006;3344;false;Others, Others
dhailk1;France;30/07/1962;Public;Bachelors;Divorced; Male;27,5;2621;2079;true;Iphone, Audi
ilimbournek2;Spain;22/12/1987;Self Employed;Doctorate;Married; Male;18;2903;2181;true;Samsung, Volkswagen
mmurkink3;Germany;12/11/1960;Unknown;Masters;Married; Male;24;2894;2360;false;Samsung, Others
amosconek4;France;04/08/1973;Self Employed;Masters;Never Married; Female;37;2306;3011;false;iPhone, Non
nsebbornk5;Spain;14/11/1983;Private;Bachelors;Married; Male;12,5;2982;1502;true;Iphone, Others
mwillbournek6;Slovakia;23/11/1980;Private;High School;Separated; Male;24;2512;2628;false;Iphone, Others
cboundek7;Germany;20/12/1974;Unknown;High School;Married; Male;15;2979;1751;false;Others, Seat
rpointerk8;Czech Republic;03/11/1976;Private;Bachelors;Married; Female;28,5;2549;2777;false;iPhone, Non
acauleyk9;Germany;01/05/1991;Private;Doctorate;Never Married; Male;32;2250;3095;false;iPhone, Non
jizzardka;Germany;13/07/1985;Public;High School;Divorced; Male;28,5;2654;3312;false;Iphone, Others
mhebblethwaitekb;Italy;03/09/1985;Self Employed;Bachelors;Married; Male;30,5;2338;1466;false;Others, Audi
cabbatinikc;France;03/10/1963;Self Employed;Masters;Married; Male;29,5;2899;1797;false;iPhone, Volkswagen
jobrogankd;Germany;23/05/1980;Public;Doctorate;Married; Male;21;2823;1996;false;iPhone, Others
tousbyke;France;06/10/1980;Self Employed;Doctorate;Divorced; Male;32,5;2336;1444;false;iPhone, Honda
ngibbskf;France;18/05/1988;Unknown;High School;Separated; Male;38,5;3046;1985;false;Samsung, Ford
enoursekg;Italy;14/01/1961;Unknown;High School;Married; Male;22;2930;2356;true;iPhone, Honda
fhaugehkh;Poland;31/03/1984;Public;Bachelors;Married; Female;9,5;2794;3234;true;iPhone, Others
ntrayfordki;Germany;26/02/1985;Unknown;High School;Married; Male;38;2110;2355;false;Samsung, Others
ddoughtykj;Poland;09/02/1999;Self Employed;Bachelors;Married; Male;37;1082;1476;true;Samsung, Ford
nwillischkk;Slovakia;26/10/1986;Self Employed;Bachelors;Never Married; Male;20,5;2838;1678;true;Samsung, Others
syurikovkl;Greece;21/09/1967;Unknown;High School;Married; Female;14;2143;1793;false;iPhone, Non
ltapsellkm;Germany;01/08/1992;Private;High School;Married; Female;38,5;802;1120;false;iPhone, Others
mpennonekn;Germany;29/12/1982;Unknown;High School;Married; Female;27,5;2355;2005;true;Iphone, Non
lfreshwaterko;Denmark;09/05/1974;Unknown;Bachelors;Married; Male;40;2099;2395;false;iPhone, Others
ahelietkp;Spain;06/12/1981;Private;High School;Never Married; Female;31;2802;2343;true;Iphone, Others
ndumphrykq;Sweden;29/05/1972;Unknown;Bachelors;Married; Male;38,5;4389;1507;false;Samsung, Others
csticklandkr;Italy;16/01/1974;Self Employed;Masters;Married; Female;39,5;2405;3065;false;iPhone, Non
bvarvaraks;Poland;27/12/1979;Self Employed;Bachelors;Married; Female;29,5;2019;3133;false;Others, Others
rpolliekt;Romania;12/09/1985;Self Employed;Bachelors;Married; Female;25,5;2047;2383;false;iPhone, Seat
egossku;Denmark;01/12/1965;Private;High School;Divorced; Female;30,5;2757;2170;true;iPhone, Seat
lridingskv;Germany;24/05/1975;Self Employed;Bachelors;Married; Male;22,5;2057;2727;false;Iphone, Ford
hcarrabottkw;Lithuania;19/04/1971;Unknown;Bachelors;Married; Female;17;2618;1431;false;iPhone, Non
kgianettikx;France;30/09/1993;Public;Bachelors;Married; Female;16,5;1902;1352;false;Samsung, Honda
ckenforthky;Netherlands;27/01/1971;Unknown;Doctorate;Separated; Male;31,5;2426;3260;false;iPhone, Others
dprovenkz;Spain;17/07/1968;Unknown;Bachelors;Married; Female;27,5;2560;2690;false;iPhone, Non
echannerl0;Netherlands;04/02/1961;Self Employed;Bachelors;Married; Male;10,5;2706;1683;false;iPhone, Ford
ggrazierl1;Germany;26/10/1992;Private;Doctorate;Married; Male;37,5;1796;1222;true;iPhone, Non
sstonehousel2;France;03/02/1972;Public;Bachelors;Never Married; Male;35,5;2313;1623;true;iPhone, BMW
ecreaseyl3;Slovenia;20/12/1981;Self Employed;Bachelors;Never Married; Female;30;2571;1401;false;Samsung, Audi
sarrelll4;Germany;31/08/1979;Public;Bachelors;Married; Female;29,5;3011;1911;false;iPhone, Honda
omuckleyl5;Latvia;01/03/1989;Public;Bachelors;Married; Male;35,5;2604;2213;true;Others, Others
bmillmorel6;Italy;12/10/1973;Self Employed;Bachelors;Married; Female;26;2019;2616;false;Samsung, Others
mduplantierl7;Bulgaria;19/12/1963;Self Employed;Bachelors;Married; Male;31,5;2625;2701;false;Samsung, Audi
gmacilhaggal8;France;07/10/1978;Self Employed;Bachelors;Divorced; Female;33,5;2282;1517;true;iPhone, Non
smachostiel9;Netherlands;05/05/1968;Public;High School;Divorced; Female;39,5;2737;2389;false;iPhone, Non
nmccahillla;Spain;12/08/1974;Self Employed;Bachelors;Never Married; Male;19,5;2588;3303;false;iPhone, Non
mvizardlb;Belgium;19/10/1991;Self Employed;Masters;Divorced; Male;21,5;2443;2288;false;Samsung, Others
nughettilc;Italy;27/02/1965;Self Employed;Bachelors;Married; Male;31,5;2649;3396;false;Samsung, Non
wwhitechurchld;Spain;17/10/1989;Unknown;Bachelors;Married; Male;23;2767;1902;true;Samsung, Audi
cbaiteyle;Netherlands;30/07/1977;Public;Bachelors;Married; Male;27;2060;2208;false;iPhone, Ford
cchetwinlf;Spain;26/03/1998;Private;High School;Married; Male;29;1625;1194;false;Others, Ford
ahilarylg;Spain;11/10/1991;Public;Doctorate;Married; Male;32,5;2656;2598;false;Others, Others
zbleakmanlh;Italy;10/05/1972;Private;Bachelors;Married; Female;38;2725;1994;false;iPhone, Others
rlivettli;Spain;04/09/1979;Private;Doctorate;Divorced; Female;34;2083;1557;true;Samsung, Others
aashalllj;Ireland;24/12/1992;Public;Bachelors;Never Married; Male;20,5;1312;1093;false;iPhone, Audi
erendelllk;Poland;17/02/1992;Self Employed;Bachelors;Married; Male;28,5;1614;1252;true;Others, Audi
rbutterfillll;Belgium;01/01/1992;Private;Bachelors;Separated; Male;14;1789;1016;false;Samsung, Ford
llaurantlm;Italy;18/01/1974;Public;Doctorate;Separated; Male;23;3050;3402;false;iPhone, BMW
gnewburnln;Spain;28/10/1976;Self Employed;Masters;Married; Male;19,5;2552;3463;false;iPhone, Others
bdoxeylo;Romania;28/03/1979;Self Employed;Bachelors;Married; Male;19,5;2230;2591;false;Iphone, Honda
rmaidmentlp;France;19/05/1995;Private;Bachelors;Married; Male;34,5;1893;1382;true;Iphone, Audi
gharmarlq;Germany;08/01/1987;Unknown;Bachelors;Never Married; Male;31;2486;2253;true;Others, Others
cdebankelr;Germany;22/09/1991;Private;Bachelors;Married; Male;38,5;2920;2159;false;iPhone, Others
gvoulsls;Poland;06/01/1969;Unknown;High School;Divorced; Male;40;3031;2741;false;Samsung, Non
bfreiberglt;Poland;29/05/1983;Unknown;Bachelors;Married; Female;32,5;2105;1979;true;Samsung, Others
