username;country;dateOfBirth;workclass;education;maritalStatus;sex;hours;savings;income;mortgage;others
bmillmorel6;Spain;9/25/1980;Self Employed;Bachelors;Married; Female;26;3544;965;false;Samsung, Others
mduplantierl7;Spain;9/25/1974;Self Employed;Bachelors;Married; Male;31,5;3518;531;false;Samsung, Audi
gmacilhaggal8;Germany;05/07/1988;Self Employed;Bachelors;Divorced; Female;33,5;3729;1104;true;iPhone, Non
smachostiel9;Germany;3/14/1983;Public;High School;Divorced; Female;39,5;9472;655;false;iPhone, Non
nmccahillla;Germany;09/08/1977;Self Employed;Bachelors;Never Married; Male;19,5;91893;6118;false;iPhone, Non
mvizardlb;Spain;06/05/1983;Self Employed;Masters;Divorced; Male;21,5;4046;1545;false;Samsung, Others
nughettilc;Italy;7/26/1983;Self Employed;Bachelors;Married; Male;31,5;9451;1722;false;Samsung, Non
wwhitechurchld;France;06/03/1990;Unknown;Bachelors;Married; Male;23;4263;1530;true;Samsung, Audi
cbaiteyle;France;9/24/1972;Public;Bachelors;Married; Male;27;7726;1070;false;iPhone, Ford
cchetwinlf;Portugal;3/25/1975;Private;High School;Married; Male;29;8806;690;false;Others, Ford
ahilarylg;Germany;3/29/1983;Public;Doctorate;Married; Male;32,5;7400;1130;false;Others, Others
zbleakmanlh;Spain;10/31/1980;Private;Bachelors;Married; Female;38;7868;690;false;iPhone, Others
rlivettli;Germany;7/27/1971;Private;Doctorate;Divorced; Female;34;3150;1515;true;Samsung, Others
aashalllj;Germany;8/26/1975;Public;Bachelors;Never Married; Male;20,5;8093;1694;false;iPhone, Audi
erendelllk;Italy;10/02/1990;Self Employed;Bachelors;Married; Male;28,5;6881;1316;true;Others, Audi
rbutterfillll;Portugal;10/29/1971;Private;Bachelors;Separated; Male;14;8019;481;false;Samsung, Ford
llaurantlm;Spain;2/28/1990;Public;Doctorate;Separated; Male;23;3384;1633;false;iPhone, BMW
gnewburnln;Spain;05/12/1985;Self Employed;Masters;Married; Male;19,5;3360;1064;false;iPhone, Others
bdoxeylo;France;10/31/1985;Self Employed;Bachelors;Married; Male;19,5;6349;1740;false;Iphone, Honda
rmaidmentlp;Italy;11/23/1979;Private;Bachelors;Married; Male;34,5;17978;999;true;Iphone, Audi
gharmarlq;France;12/23/1978;Unknown;Bachelors;Never Married; Male;31;3573;1197;true;Others, Others
cdebankelr;France;09/10/1988;Private;Bachelors;Married; Male;38,5;6736;1103;false;iPhone, Others
gvoulsls;Italy;03/04/1989;Unknown;High School;Divorced; Male;40;6829;1216;false;Samsung, Non
bfreiberglt;Portugal;09/02/1982;Unknown;Bachelors;Married; Female;32,5;4454;1880;true;Samsung, Others
ebewshawlu;France;04/08/1974;Public;Bachelors;Married; Female;28,5;90693;4960;false;Iphone, Volkswagen
akofaxlv;Germany;7/18/1988;Private;Doctorate;Married; Male;33,5;5692;1271;false;iPhone, BMW
ddevorilllw;Italy;06/07/1973;Private;Bachelors;Married; Female;34,5;28149;6690;true;Others, Others
rpittlelx;Spain;01/10/1984;Self Employed;Masters;Divorced; Female;32;7659;1487;true;iPhone, Honda
cottonly;Germany;10/01/1974;Self Employed;Doctorate;Married; Male;19,5;56325;3156;false;iPhone, Ford
rrippinglz;France;01/08/1986;Public;Bachelors;Married; Male;33,5;8668;575;true;iPhone, Others
jllewellenm0;Italy;11/15/1987;Unknown;High School;Never Married; Female;30;9899;584;true;Others, Others
mfontellm1;Italy;2/25/1979;Self Employed;High School;Married; Female;30;9674;620;false;iPhone, Others
gbookm2;Germany;10/18/1976;Public;Bachelors;Married; Male;15;17674;354;true;Samsung, Others
slethibridgem3;Italy;10/17/1977;Private;High School;Never Married; Male;29,5;3643;1864;false;Samsung, Others
sstaveleym4;Portugal;12/18/1988;Public;Bachelors;Divorced; Male;28,5;9519;1729;true;Others, Others
lfeatherstonem5;Italy;8/15/1973;Unknown;High School;Divorced; Male;22;27560;5819;false;Samsung, Non
kshewardm6;Germany;3/22/1984;Private;Bachelors;Married; Male;28,5;7514;1487;false;iPhone, Others
wbelleem7;Germany;1/22/1971;Unknown;Bachelors;Married; Female;19,5;8722;1005;false;iPhone, Seat
ashearsbym8;Germany;02/09/1986;Unknown;Masters;Divorced; Male;28;82305;6271;false;Others, Ford
wsewardsm9;Spain;4/29/1990;Unknown;Bachelors;Divorced; Female;27;3778;520;false;iPhone, Non
elinsterma;Germany;01/05/1976;Unknown;Bachelors;Separated; Female;32;3146;925;false;iPhone, Others
ekilpinmb;France;05/10/1987;Private;Bachelors;Never Married; Male;20,5;6501;836;false;iPhone, Others
ccrightenmc;Spain;8/13/1985;Private;Bachelors;Married; Male;22;5572;797;true;iPhone, Ford
hdeathmd;Portugal;12/17/1975;Self Employed;Bachelors;Married; Male;30,5;8365;627;true;iPhone, Audi
twiddowsme;Portugal;1/30/1983;Private;Bachelors;Married; Male;7,5;3235;365;false;Others, BMW
wbamfieldmf;Spain;7/15/1974;Public;Bachelors;Married; Male;31,5;7624;646;false;iPhone, Others
vmcilraithmg;Germany;9/24/1990;Unknown;Bachelors;Divorced; Male;26;4199;1594;true;Samsung, BMW
hrapkinsmh;Portugal;10/12/1987;Public;Bachelors;Divorced; Male;22;4369;938;false;iPhone, Honda
tluffmanmi;Germany;07/07/1987;Unknown;Masters;Married; Male;22,5;4888;1991;true;iPhone, Ford
nkatzmannmj;Germany;03/12/1983;Public;High School;Separated; Male;31;9173;1800;true;Samsung, Others
kbedburymk;Italy;9/15/1982;Self Employed;High School;Never Married; Male;40;6646;1196;false;Others, Others
britchleyml;Germany;10/14/1980;Private;Bachelors;Married; Female;35,5;3327;715;false;Others, Volkswagen
selwardmm;Portugal;12/18/1986;Self Employed;Bachelors;Married; Male;39,5;5542;981;false;Samsung, Seat
shoodspethmn;Spain;04/06/1970;Public;Bachelors;Married; Male;35,5;20450;3198;false;Samsung, Others
dmcgarrymo;Spain;5/28/1973;Self Employed;High School;Married; Male;14;4182;473;false;iPhone, Audi
lmaplestonemp;Germany;3/25/1970;Public;Bachelors;Divorced; Female;36;5978;768;true;iPhone, Others
mwindrammq;Germany;11/17/1983;Self Employed;Bachelors;Divorced; Male;11,5;4293;464;false;Others, Others
acazinmr;France;03/06/1975;Unknown;Bachelors;Divorced; Male;27,5;79538;6993;false;iPhone, Non
ngrinvaldsms;Portugal;02/06/1981;Private;Masters;Never Married; Male;37;3048;705;false;Samsung, Volkswagen
aheavisidemt;Italy;03/08/1980;Private;Masters;Married; Male;32;4366;610;false;Iphone, BMW
medelheitmu;Italy;1/23/1989;Private;High School;Divorced; Male;29,5;4452;1949;true;Samsung, Others
pcurmemv;Spain;07/05/1988;Unknown;High School;Married; Male;18;3953;1759;true;Others, Volkswagen
broycraftmw;Spain;3/18/1972;Private;High School;Married; Male;9;16801;463;true;Samsung, Non
lvaneschimx;Germany;11/11/1978;Self Employed;Doctorate;Never Married; Male;31,5;64235;5155;true;Others, Others
whabronmy;Germany;2/24/1979;Private;High School;Married; Female;29;8228;1925;false;Others, Non
inouchmz;Spain;7/19/1975;Self Employed;Bachelors;Never Married; Female;31;6194;1105;false;Iphone, Others
nlippittn0;Italy;12/14/1985;Private;Bachelors;Divorced; Female;37;22859;3795;true;Samsung, Honda
pwaudbyn1;France;9/13/1973;Unknown;Masters;Married; Female;22,5;34098;6449;true;Iphone, Others
bgregann2;Portugal;8/25/1989;Private;Bachelors;Married; Male;31,5;3714;1983;false;Samsung, Others
amayten3;Portugal;7/17/1971;Public;Bachelors;Married; Female;21;8489;539;true;iPhone, Audi
ddightn4;Germany;10/31/1984;Unknown;Bachelors;Married; Male;36;5011;1223;false;Samsung, Non
fcarnewn5;Germany;8/24/1985;Public;High School;Married; Female;26,5;37074;3979;false;iPhone, Others
lburchnalln6;Spain;12/23/1986;Public;Bachelors;Married; Male;25,5;6211;871;false;Others, Others
tchasmoorn7;France;2/26/1983;Public;Masters;Separated; Female;38;14740;987;true;Samsung, Others
deglen8;France;12/29/1982;Private;Doctorate;Married; Male;33,5;8252;532;false;iPhone, Honda
vmoutrayreadn9;Portugal;07/03/1986;Self Employed;Bachelors;Never Married; Male;21;7034;919;false;Samsung, BMW
bchaineyna;France;7/13/1983;Self Employed;High School;Married; Male;19,5;3090;578;true;Samsung, Seat
acoennb;Spain;5/26/1976;Self Employed;High School;Married; Male;36,5;6822;1065;false;iPhone, Others
eriddnc;Germany;1/15/1976;Private;Bachelors;Never Married; Male;31;7443;925;false;iPhone, Honda
cpakesnd;Italy;1/29/1985;Private;Doctorate;Married; Male;24;6792;1110;false;Samsung, Others
tdeboickne;Italy;11/25/1986;Private;Bachelors;Married; Female;39,5;7437;767;true;Iphone, Others
kkemetznf;Spain;09/06/1970;Private;Bachelors;Separated; Male;24;5115;1301;true;iPhone, BMW
dlenoirng;France;3/16/1989;Private;High School;Married; Male;38,5;5457;530;true;Samsung, Honda
pfaransnh;France;05/06/1984;Self Employed;Doctorate;Married; Male;20;5068;1869;false;Iphone, Honda
cstanionni;Germany;7/19/1981;Private;Masters;Married; Female;26,5;70327;6959;false;iPhone, Audi
npastornj;Germany;9/30/1976;Self Employed;High School;Married; Female;22,5;8431;1064;true;Samsung, Others
fpiddletownnk;Portugal;11/13/1980;Public;Doctorate;Married; Female;35;5833;614;true;Samsung, Non
nbrothwellnl;Germany;11/05/1974;Unknown;High School;Married; Male;17;8873;452;false;iPhone, Others
bwainernm;Spain;2/19/1990;Self Employed;High School;Separated; Male;30,5;3688;630;false;iPhone, BMW
mtibbitsnn;Portugal;3/13/1971;Private;Bachelors;Divorced; Male;28;9072;1249;false;Others, Audi
hmyringno;Portugal;09/12/1990;Unknown;Masters;Married; Male;25,5;99696;2866;false;Samsung, Non
dlukesnp;France;1/22/1985;Self Employed;Doctorate;Married; Male;17;7836;1070;true;Samsung, Audi
hlaphornnq;Portugal;07/02/1973;Private;Bachelors;Divorced; Male;12,5;5650;472;false;Samsung, Ford
creglernr;Spain;04/07/1983;Private;Masters;Married; Female;21,5;6419;1876;true;iPhone, Non
kbeedlens;Germany;08/12/1979;Public;Masters;Married; Female;20,5;3001;883;false;iPhone, Non
rbuggynt;Italy;03/12/1979;Private;Bachelors;Married; Female;34;34304;5247;false;Iphone, Audi
beastnu;Germany;1/27/1980;Private;High School;Married; Male;6;6391;454;false;iPhone, Others
nfarrernv;Portugal;2/23/1986;Private;Bachelors;Married; Female;18,5;8023;1133;false;Iphone, Non
rblythnw;Portugal;6/21/1985;Public;Doctorate;Married; Male;29,5;38062;3589;false;iPhone, Others
daddionisionx;Spain;8/24/1987;Unknown;Bachelors;Married; Male;20,5;7458;1781;false;Others, Honda
tdarthny;Germany;2/23/1981;Private;Doctorate;Divorced; Male;18,5;7157;1505;false;Samsung, Honda
lbrettellnz;Spain;4/15/1974;Self Employed;High School;Married; Male;19,5;35104;4847;true;Others, Non
mdabneyo0;Italy;08/02/1983;Private;Bachelors;Married; Male;36,5;9104;527;false;Iphone, Others
jsilbermanno1;Germany;7/20/1984;Unknown;Bachelors;Married; Female;24;3968;1849;false;Iphone, Non
epearcehouseo2;Spain;5/16/1974;Self Employed;Bachelors;Separated; Male;15,5;8662;426;false;iPhone, Audi
hmorfetto3;Spain;12/15/1979;Public;Masters;Married; Female;30,5;6466;1160;false;Samsung, Ford
ipoizero4;Portugal;9/26/1977;Public;Bachelors;Married; Male;28;79016;4419;false;iPhone, Audi
kbatsfordo5;France;6/13/1974;Private;High School;Married; Male;18;3699;1815;false;Samsung, Seat
sareleso6;Germany;03/10/1989;Unknown;Bachelors;Never Married; Male;8,5;6814;415;false;iPhone, Non
celsegoodo7;France;04/09/1974;Private;High School;Separated; Male;37;9589;1101;false;Samsung, Volkswagen
fdrieuo8;France;11/17/1973;Unknown;Bachelors;Married; Male;16,5;3613;1703;true;Iphone, Others
roiliero9;France;07/01/1984;Public;Bachelors;Married; Male;29,5;7472;1189;true;iPhone, BMW
ihawtinoa;France;10/03/1982;Private;Bachelors;Married; Male;21;9105;1524;false;iPhone, Honda
lsquibbob;Italy;06/09/1973;Private;Bachelors;Married; Male;34;16070;1925;true;iPhone, BMW
agoareoc;Germany;5/30/1976;Public;High School;Married; Male;17;6532;1022;true;iPhone, Audi
aboyseod;Germany;6/30/1982;Private;Bachelors;Married; Male;15;4749;388;false;Samsung, Audi
squaltrooe;Portugal;6/24/1972;Private;Bachelors;Married; Male;19,5;13262;1380;false;Others, Others
ckeenorof;Spain;5/14/1985;Unknown;Bachelors;Married; Female;30,5;7629;1847;true;Iphone, Ford
yredihoughog;Italy;12/14/1979;Public;Bachelors;Divorced; Male;27,5;35042;2703;true;Samsung, Seat
htuppoh;Italy;3/29/1973;Public;Masters;Never Married; Male;25,5;72971;3649;true;Iphone, Honda
rfiddyoi;Spain;04/07/1987;Self Employed;Masters;Never Married; Female;30;7599;1446;false;Iphone, Others
akingslandoj;Italy;1/14/1977;Private;Bachelors;Divorced; Male;18;30446;2044;false;iPhone, Volkswagen
pwinfieldok;Germany;7/23/1971;Self Employed;High School;Married; Male;39,5;4312;1689;true;Samsung, Seat
estaresol;Spain;12/07/1972;Self Employed;Bachelors;Married; Female;24;6135;1184;true;Samsung, Seat
cpepallom;Spain;05/11/1989;Public;Bachelors;Married; Female;25;5764;1496;false;Samsung, BMW
cricardeon;Germany;11/15/1972;Unknown;Bachelors;Divorced; Male;21,5;9313;1435;false;iPhone, Volkswagen
mcastellinioo;Germany;06/02/1982;Private;Bachelors;Married; Male;26;7592;696;false;iPhone, Honda
pdoutchop;Spain;2/15/1976;Unknown;Bachelors;Married; Female;21;6227;1895;false;Others, Others
bdateoq;Spain;11/03/1970;Self Employed;Masters;Married; Male;23,5;90512;5166;false;Samsung, Ford
rpiattior;France;8/16/1987;Public;Bachelors;Married; Female;29,5;87932;3385;false;iPhone, Others
cstangoos;Italy;2/24/1974;Unknown;Bachelors;Married; Male;20,5;5692;983;false;iPhone, Volkswagen
lpendreot;Germany;2/27/1973;Public;High School;Married; Male;17,5;9793;702;false;iPhone, Honda
eharversonou;Germany;05/12/1985;Unknown;Bachelors;Married; Male;9,5;6682;427;false;iPhone, Seat
ffurmongerov;Spain;04/10/1987;Self Employed;Doctorate;Married; Male;35;9963;1099;true;iPhone, BMW
theskinow;France;4/25/1987;Self Employed;High School;Married; Male;18;3824;881;true;iPhone, Others
ocuruclisox;Portugal;07/03/1987;Self Employed;Masters;Married; Male;18,5;6038;942;false;iPhone, Others
fsimonianoy;Germany;6/25/1975;Public;Bachelors;Married; Male;20;4743;910;false;Iphone, Others
letheredgeoz;France;02/01/1972;Self Employed;High School;Married; Male;39,5;9420;915;true;Samsung, Others
ppullenp0;Germany;08/05/1986;Private;Bachelors;Married; Male;37;23487;3708;false;iPhone, Others
hhosierp1;Portugal;1/13/1989;Self Employed;Masters;Married; Female;23;32088;5525;false;Others, Ford
bubeep2;Germany;7/19/1984;Private;Doctorate;Separated; Male;24,5;6782;501;false;iPhone, BMW
smullearyp3;Italy;7/17/1971;Public;High School;Divorced; Female;24,5;30251;5074;true;iPhone, Non
mramesp4;France;11/23/1988;Private;High School;Divorced; Male;38,5;9526;1568;false;Others, Audi
cgwatkinp5;Italy;06/06/1972;Self Employed;High School;Married; Male;30,5;97206;5418;false;Iphone, Non
agiovannettip6;Italy;06/11/1971;Private;Bachelors;Married; Female;36,5;9465;1833;true;iPhone, Seat
glidierthp7;France;4/27/1988;Self Employed;High School;Never Married; Female;20;78359;5410;false;iPhone, Others
jbretellep8;Germany;01/11/1977;Unknown;Bachelors;Married; Male;26;82719;5246;false;Samsung, Honda
wstartep9;Spain;3/31/1983;Self Employed;Bachelors;Separated; Male;30;6202;1995;false;Iphone, Non
mhardwaypa;France;02/09/1986;Private;Bachelors;Married; Male;27;6166;1501;false;Samsung, Others
ksimmondspb;France;7/17/1973;Public;Doctorate;Married; Male;25;3528;676;true;Samsung, Others
cmalpaspc;Germany;08/11/1988;Private;Masters;Married; Male;34;8690;817;false;Samsung, Ford
cduplantierpd;Germany;3/17/1973;Unknown;Masters;Married; Male;20;7296;1683;true;Samsung, Others
mmcmeekanpe;Spain;12/15/1977;Public;Masters;Married; Male;33;5341;1877;true;Samsung, BMW
pwrattenpf;Spain;10/09/1982;Unknown;Bachelors;Never Married; Male;17;3000;1615;true;iPhone, Non
hricciardipg;France;12/30/1982;Self Employed;Bachelors;Married; Male;5;6528;415;false;Samsung, Others
roffellph;Spain;9/14/1973;Private;Bachelors;Married; Male;36;7798;769;false;iPhone, Others
rconkiepi;Portugal;11/30/1982;Unknown;Bachelors;Divorced; Male;19;6133;1745;true;Samsung, Non
dfolominpj;Italy;03/12/1972;Unknown;High School;Married; Female;22;8515;1756;true;iPhone, Volkswagen
erobartpk;Germany;06/07/1987;Public;Masters;Married; Female;28;77211;4575;true;Samsung, Ford
nhoutbiepl;Germany;6/28/1979;Unknown;High School;Married; Male;24;3945;1754;false;iPhone, Non
bthorpm;Portugal;3/25/1985;Private;Bachelors;Married; Male;21,5;8840;1124;true;Samsung, Others
cbonsonpn;France;6/25/1972;Public;High School;Never Married; Female;30;8316;1618;false;Samsung, Seat
dweypo;Portugal;11/25/1985;Self Employed;Bachelors;Married; Female;23;33515;5381;true;Iphone, Others
bbezarrapp;Germany;02/04/1978;Public;Bachelors;Married; Male;39;6428;963;true;Samsung, Seat
jgarrochpq;France;04/12/1980;Private;High School;Married; Male;11,5;3537;383;true;Iphone, Audi
slampelpr;France;6/21/1971;Unknown;High School;Married; Male;16,5;36316;3215;true;iPhone, Others
ncawleyps;Italy;12/25/1984;Private;Bachelors;Married; Male;21,5;8975;1501;true;iPhone, Others
mrowdenpt;Germany;01/10/1978;Public;Bachelors;Married; Male;5;10045;454;true;Samsung, Others
lhenrichsenpu;Spain;10/16/1977;Self Employed;Bachelors;Married; Male;38,5;6264;541;true;iPhone, Others
lgleavepv;Portugal;4/18/1975;Private;Doctorate;Married; Female;22;18186;1489;true;iPhone, Honda
bparkenpw;Germany;1/16/1974;Unknown;Masters;Separated; Female;23,5;9261;1003;true;iPhone, Others
fpeytonpx;France;12/21/1975;Self Employed;Bachelors;Separated; Female;31;9943;1128;true;Others, Non
tbalmepy;Spain;8/23/1977;Unknown;Bachelors;Married; Male;33;28591;4212;true;iPhone, Volkswagen
atrowlpz;Portugal;6/29/1972;Public;Bachelors;Separated; Male;18,5;4317;1805;false;Iphone, Others
tbudgeonq0;Portugal;12/10/1985;Unknown;Doctorate;Never Married; Male;17,5;7391;947;true;Others, Volkswagen
gfianderq1;Portugal;9/19/1978;Unknown;Bachelors;Married; Female;23;7520;1977;true;Samsung, Others
cmoresideq2;Portugal;04/01/1986;Self Employed;Bachelors;Separated; Male;16,5;6774;361;false;Iphone, Honda
ablunkettq3;Spain;01/02/1988;Self Employed;Doctorate;Married; Female;30,5;24644;5616;false;Samsung, Non
gsoaperq4;Spain;5/20/1988;Self Employed;Bachelors;Married; Male;36,5;9259;1597;true;iPhone, Non
erugieroq5;Spain;10/26/1987;Public;High School;Married; Male;25;33192;6676;false;Samsung, Seat
lmaccurleyq6;Portugal;02/01/1978;Unknown;Bachelors;Married; Female;22,5;78088;6606;false;iPhone, Others
mlambertsonq7;Germany;8/27/1983;Self Employed;Masters;Divorced; Female;19;10044;1017;false;Iphone, Others
tfoxtonq8;France;09/11/1990;Public;Bachelors;Never Married; Female;24,5;7632;1390;false;iPhone, Seat
jswyreq9;Germany;08/03/1982;Unknown;High School;Divorced; Male;24;9758;1353;false;Others, Others
samburgyqa;Spain;4/30/1976;Unknown;High School;Married; Female;39,5;8686;1936;false;Others, Non
dbreachqb;Portugal;10/14/1974;Self Employed;Masters;Married; Female;34;3399;1129;false;Samsung, Others
cbatchqc;Spain;11/08/1974;Private;Bachelors;Never Married; Male;21;7386;1217;true;Iphone, Honda
apratleyqd;Portugal;11/17/1973;Unknown;Bachelors;Married; Male;29,5;7661;1762;true;iPhone, Seat
adurnanqe;Italy;01/02/1971;Public;Bachelors;Married; Male;21,5;8872;502;false;Samsung, Others
dtabourinqf;Germany;8/31/1989;Self Employed;High School;Married; Male;5,5;8595;477;false;Others, Honda
jdysartqg;Portugal;8/14/1986;Unknown;Masters;Separated; Male;40;4560;974;false;Samsung, Others
hferrierqh;Spain;6/17/1978;Private;Bachelors;Divorced; Male;24,5;3658;1781;true;Others, Honda
ctolomioqi;Spain;04/02/1988;Unknown;High School;Married; Male;33;5785;1109;true;Iphone, Others
epuntonqj;Portugal;12/24/1987;Unknown;Masters;Divorced; Male;35;9129;1820;true;iPhone, Others
jmoralisqk;Portugal;02/04/1981;Self Employed;High School;Married; Male;26,5;5979;940;true;Samsung, Non
crickertsenql;Spain;3/28/1980;Private;Bachelors;Married; Female;31;7959;1306;false;iPhone, Others
gpardonqm;France;9/23/1975;Private;High School;Married; Female;37,5;5458;1589;true;iPhone, Others
ntollqn;France;02/08/1988;Self Employed;Bachelors;Married; Male;29;3473;1997;true;Iphone, Seat
callewayqo;Portugal;06/08/1984;Private;Bachelors;Married; Male;36;4489;1639;false;Others, Others
dfardoqp;Germany;3/19/1982;Self Employed;Bachelors;Married; Male;21;14677;546;false;iPhone, Others
shaskellqq;Germany;5/20/1977;Self Employed;Bachelors;Never Married; Male;28;25503;5214;false;Samsung, Ford
mbensleyqr;France;8/31/1980;Self Employed;Masters;Married; Male;24,5;8882;1885;true;iPhone, Others
hdownsqs;Italy;08/07/1986;Unknown;Bachelors;Married; Male;16,5;34291;4148;false;iPhone, Seat
rccominiqt;Spain;02/05/1978;Private;Bachelors;Married; Female;20,5;7948;1314;false;iPhone, Non
ymokesqu;Spain;03/01/1987;Self Employed;Doctorate;Married; Male;31;3257;1950;false;iPhone, Volkswagen
rmcclintockqv;Germany;08/05/1970;Unknown;Bachelors;Married; Female;31;8349;853;true;Others, Ford
rayshqw;Germany;07/07/1984;Public;Bachelors;Married; Male;29,5;30734;2656;true;Samsung, Non
kpiersonqx;France;07/03/1974;Public;Bachelors;Divorced; Male;23;35883;4797;true;Samsung, Honda
fvenardqy;Germany;12/06/1989;Self Employed;High School;Married; Male;34,5;6547;1950;true;Iphone, Others
okettsqz;Germany;8/22/1980;Private;Bachelors;Married; Male;20,5;9291;1035;false;iPhone, Others
tkenfordr0;Italy;07/04/1971;Private;Bachelors;Never Married; Male;16,5;7559;590;true;iPhone, Seat
bhurleyr1;Italy;03/11/1990;Self Employed;Bachelors;Divorced; Male;28,5;5829;1806;false;iPhone, Others
bgoodswenr2;Germany;4/26/1978;Private;Doctorate;Never Married; Male;25;8500;523;true;Others, BMW
beasomr3;France;2/16/1983;Self Employed;High School;Separated; Male;22,5;74022;4187;false;Iphone, Others
cwattamr4;Spain;05/05/1978;Private;Bachelors;Divorced; Male;38;5413;625;true;iPhone, Seat
vmaccoler5;Germany;6/26/1980;Self Employed;Bachelors;Married; Female;31,5;4216;1854;true;Samsung, BMW
ariolfor6;France;06/03/1990;Public;Bachelors;Never Married; Male;33,5;33257;3522;false;Samsung, Others
mmilletonr7;Portugal;05/05/1989;Unknown;High School;Divorced; Male;34;38547;2516;true;Iphone, Ford
dfisherr8;Portugal;12/23/1989;Unknown;High School;Married; Female;38;58736;4411;false;iPhone, Volkswagen
cpilchr9;Spain;11/21/1975;Unknown;Bachelors;Divorced; Male;36,5;7113;1657;true;iPhone, Honda
zyeendra;Spain;05/01/1975;Unknown;High School;Married; Female;32,5;6576;1691;false;iPhone, Seat
ggrimblebyrb;Germany;05/08/1974;Private;Masters;Married; Male;40;4990;978;false;Others, BMW
fruthvenrc;Germany;01/06/1976;Unknown;Bachelors;Married; Male;21,5;4757;1323;false;iPhone, Others
kjesterd;Italy;1/24/1976;Unknown;Masters;Married; Male;29,5;7786;786;false;Iphone, Others
dboultonre;Germany;8/28/1989;Private;Bachelors;Divorced; Male;36,5;27633;4576;false;Others, Ford
ttaffleyrf;Germany;4/18/1970;Private;High School;Married; Female;34,5;4613;1622;false;iPhone, Others
cpfaffrg;Portugal;9/29/1973;Public;High School;Married; Male;34,5;77089;3371;true;iPhone, Ford
klouisotrh;Portugal;12/05/1989;Self Employed;Bachelors;Married; Female;26,5;9814;961;true;Samsung, Seat
fmccallumri;Portugal;10/23/1980;Unknown;Masters;Married; Female;28;20499;2855;false;Iphone, Non
azammittrj;Portugal;8/23/1971;Private;Bachelors;Never Married; Male;30,5;6020;1417;false;Others, Honda
kdupreyrk;Spain;10/18/1980;Public;Bachelors;Divorced; Male;25,5;7761;596;false;Samsung, Non
mskacelrl;France;4/14/1980;Public;Bachelors;Separated; Male;34,5;7725;1008;false;Samsung, Others
rleconterm;Spain;12/09/1975;Unknown;Bachelors;Separated; Female;24;4203;1123;true;iPhone, Seat
jdevericksrn;Germany;10/15/1978;Unknown;Masters;Married; Male;21,5;7712;1881;false;iPhone, Others
cluttgerro;Spain;9/19/1985;Self Employed;Bachelors;Married; Male;4,5;5782;491;true;Others, BMW
scanturp;Germany;06/10/1984;Public;Bachelors;Married; Female;28,5;25189;6747;true;iPhone, Non
ajoselsonrq;Spain;04/02/1973;Public;Bachelors;Married; Male;24;6746;872;false;iPhone, Audi
ggallyonrr;Spain;10/16/1981;Unknown;Masters;Married; Male;22,5;7583;1812;false;Iphone, Others
dpiercey0;Germany;11/12/1981;Unknown;High School;Never Married; Male;37;9024;1428;false;Iphone, Non
eparratt1;France;11/06/1990;Self Employed;Bachelors;Married; Female;26;7833;604;false;iPhone, Others
iolerenshaw2;Italy;7/16/1970;Self Employed;High School;Never Married; Male;36;8532;1640;true;iPhone, Seat
llaws3;France;3/16/1984;Private;High School;Married; Female;27;23389;4737;false;iPhone, Others
rbladder4;France;5/22/1988;Public;Bachelors;Married; Male;36,5;15133;1688;false;iPhone, Non
vvalerius5;Spain;12/05/1978;Public;Bachelors;Married; Male;6;13205;451;true;iPhone, Audi
ishegog6;Portugal;11/22/1977;Self Employed;High School;Divorced; Female;38;5323;611;false;Samsung, Others
owilfling7;Italy;06/11/1986;Self Employed;Doctorate;Married; Male;27;3622;1398;false;Samsung, Others
cmatfield8;Italy;9/18/1971;Private;Bachelors;Married; Male;37;9532;1066;true;Iphone, Others
rblanchard9;Spain;04/01/1970;Public;Doctorate;Married; Female;36;3208;1641;true;iPhone, Others
gitzhakia;Germany;4/17/1988;Public;Bachelors;Never Married; Female;18;76861;6758;true;Others, Ford
ssnodinb;Portugal;05/08/1981;Self Employed;Bachelors;Married; Female;37,5;3264;1770;false;Samsung, Others
ncagec;Portugal;10/16/1977;Self Employed;Masters;Married; Female;7;5762;498;false;iPhone, Others
tetienned;Portugal;8/25/1971;Unknown;Bachelors;Married; Female;30,5;3986;854;true;Samsung, Seat
isandellse;Portugal;08/02/1983;Unknown;Masters;Married; Male;34,5;7672;1009;true;Others, Ford
dboonf;Spain;5/18/1971;Public;Doctorate;Married; Female;17;4131;1732;true;Others, Audi
opoytresg;Italy;3/19/1986;Unknown;Bachelors;Never Married; Male;33;55069;5273;false;Samsung, Non
kbruckmanh;Spain;1/29/1987;Unknown;High School;Separated; Male;30,5;6607;1095;true;iPhone, Audi
bcharsleyi;Germany;04/08/1984;Unknown;Bachelors;Separated; Male;39;33250;6066;false;Others, Seat
tmacneicej;Spain;9/29/1982;Private;High School;Divorced; Male;18;26614;3163;false;Others, Seat
gnewtonk;France;10/01/1977;Private;Bachelors;Divorced; Female;32;9749;594;false;Others, Honda
snealonl;Germany;02/04/1991;Self Employed;High School;Married; Male;21;9400;1108;true;Iphone, Others
jwinmanm;Italy;05/04/1970;Public;Doctorate;Separated; Male;16,5;23567;4146;false;iPhone, BMW
gchiverstonen;Italy;1/27/1986;Private;High School;Married; Female;12,5;6496;461;false;iPhone, Non
palabastaro;France;04/11/1987;Public;Bachelors;Never Married; Male;17;35604;2528;false;Others, Others
